Year,State,Employment,AVG Price
2009,CA,19450233,$359349.4897
2009,CO,2716103,$239113.2628
2009,CT,2047885,$309849.9479
2009,DE,81628,$242729.923
2009,FL,9567540,$188121.7671
2009,GA,4077227,$125354.682
2009,HI,693422,$410139.6589
2009,IA,957497,$114177.4423
2009,ID,616209,$189046.7111
2009,IL,1013263,$170641.6061
2009,IN,2004561,$113272.0881
2009,KS,675424,$137663.186
2009,KY,536241,$93908.493
2009,LA,2198822,$132768.2463
2009,MA,583181,$328046.4141
2009,MD,1705708,$300152.4146
2009,ME,495962,$181701.5429
2009,MI,4225563,$113968.278
2009,MN,331873,$174487.232
2009,MO,585058,$144962.6905
2009,MS,653547,$108538.5229
2009,MT,237248,$214448.4665
2009,NC,3106927,$155681.99
2009,ND,80758,$155633.5312
2009,NE,258702,$121499.6426
2009,NH,250764,$220047.3964
2009,NJ,565052,$347019.203
2009,NM,739718,$187040.2029
2009,NV,1381158,$246742.2613
2009,NY,3133838,$280281.7336
2009,OH,4048525,$126123.8589
2009,OK,1433786,$71495.1118
2009,OR,729765,$229902.7599
2009,PA,3607244,$162022.478
2009,SC,1688571,$134918.1115
2009,SD,258837,$141065.5695
2009,TN,1806177,$106537.7872
2009,TX,12657879,$147370.38
2009,UT,1396076,$243071.2134
2009,VA,1424215,$222628.6816
2009,VT,149147,$196119.7131
2009,WA,3290618,$272053.6081
2009,WI,2390395,$170376.9172
2009,WV,343725,$97539.2907
2009,WY,113337,$200129.1388
2010,AK,291281,$205764.2736
2010,AL,1922302,$111360.7468
2010,AR,840699,$92013.6801
2010,AZ,3050858,$160756.143
2010,CA,19262420,$348763.9756
2010,CO,2705726,$229181.9871
2010,CT,2026089,$299047.9677
2010,DE,81669,$221182.8145
2010,FL,9531620,$173176.6251
2010,GA,4055391,$116148.7462
2010,HI,689721,$394456.2247
2010,IA,956317,$109060.7026
2010,ID,609378,$168892.8619
2010,IL,1008665,$159473.7624
2010,IN,2007097,$109817.1736
2010,KS,668980,$124452.5704
2010,KY,541229,$92584.933
2010,LA,2204344,$127196.6955
2010,MA,581612,$328475.5945
2010,MD,1702710,$285169.1908
2010,ME,491954,$173782.9008
2010,MI,4224393,$106938.0959
2010,MN,329727,$165977.8538
2010,MO,578961,$135882.9641
2010,MS,654088,$111127.3238
2010,MT,235717,$202195.1695
2010,NC,3091789,$147748.9151
2010,ND,82274,$138669.2775
2010,NE,257431,$118727.0617
2010,NH,247058,$213836.3133
2010,NJ,563016,$336730.6891
2010,NM,728446,$174554.7007
2010,NV,1348741,$211571.1967
2010,NY,3114073,$276392.4155
2010,OH,4028773,$122264.1142
2010,OK,1431852,$70492.5533
2010,OR,720625,$212999.0336
2010,PA,3608546,$158640.3598
2010,SC,1682150,$125543.7419
2010,SD,259078,$141674.5488
2010,TN,1805079,$104390.5004
2010,TX,12716887,$141485.5972
2010,UT,1384185,$225796.5478
2010,VA,1411988,$208036.1651
2010,VT,150311,$193357.7785
2010,WA,3253141,$253987.9711
2010,WI,2377788,$163312.622
2010,WV,344388,$94690.1151
2010,WY,113274,$193570.8693
2011,AK,295642,$205197.6801
2011,AL,1954509,$104128.0987
2011,AR,858177,$89546.4196
2011,AZ,3107509,$144307.9058
2011,CA,19608643,$326300.9099
2011,CO,2764451,$220280.6322
2011,CT,2058642,$286327.9865
2011,DE,83855,$204446.6293
2011,FL,9762667,$160225.3204
2011,GA,4149402,$106607.8455
2011,HI,698695,$388334.9665
2011,IA,972821,$107345.1604
2011,ID,617473,$153398.5874
2011,IL,1020337,$148571.0986
2011,IN,2050383,$107423.2178
2011,KS,670129,$112475.8089
2011,KY,552056,$89499.5567
2011,LA,2230661,$122448.5074
2011,MA,585320,$318044.8124
2011,MD,1735516,$272816.1837
2011,ME,495469,$168133.9529
2011,MI,4341812,$102107.5214
2011,MN,335445,$154161.5741
2011,MO,586246,$127015.2415
2011,MS,659655,$110175.7925
2011,MT,238523,$194117.0669
2011,NC,3146493,$141004.9333
2011,ND,84543,$140364.2743
2011,NE,260290,$114968.343
2011,NH,249484,$209079.1468
2011,NJ,565255,$318916.9707
2011,NM,729990,$163000.2699
2011,NV,1370194,$189559.1449
2011,NY,3140298,$269657.2718
2011,OH,4100111,$117145.9824
2011,OK,1454838,$68813.5131
2011,OR,723162,$195189.7609
2011,PA,3657136,$151491.4326
2011,SC,1732786,$117870.1088
2011,SD,264167,$136917.2421
2011,TN,1848647,$102044.1039
2011,TX,13106165,$137713.7082
2011,UT,1421832,$212521.8114
2011,VA,1431695,$199327.1858
2011,VT,153443,$194187.914
2011,WA,3294391,$233725.2469
2011,WI,2413566,$153845.9116
2011,WV,347333,$93026.3426
2011,WY,116182,$189756.2059
2012,AK,302328,$193705.9231
2012,AL,1962767,$103658.6723
2012,AR,865075,$90550.4105
2012,AZ,3162559,$147249.4894
2012,CA,20291167,$322696.3792
2012,CO,2821201,$219115.3578
2012,CT,2074425,$266576.7899
2012,DE,84764,$193089.3973
2012,FL,9975437,$160236.1403
2012,GA,4203710,$104703.7007
2012,HI,710628,$378866.0953
2012,IA,987435,$109572.6619
2012,ID,621822,$153600.8759
2012,IL,1025762,$137381.7897
2012,IN,2091191,$103051.1562
2012,KS,674024,$92921.5592
2012,KY,557568,$87940.6376
2012,LA,2267948,$121701.1326
2012,MA,600046,$308995.8837
2012,MD,1765783,$266588.3073
2012,ME,497969,$157394.6633
2012,MI,4407930,$100812.2737
2012,MN,340383,$147118.1665
2012,MO,594771,$114688.728
2012,MS,662061,$98096.9554
2012,MT,241241,$190720.1658
2012,NC,3184540,$138490.4928
2012,ND,88020,$136282.8675
2012,NE,265836,$114541.6232
2012,NH,250653,$202944.0048
2012,NJ,567109,$312754.346
2012,NM,730031,$157189.8836
2012,NV,1386077,$181174.1903
2012,NY,3153308,$264780.4683
2012,OH,4158890,$115185.0744
2012,OK,1492016,$68651.7535
2012,OR,725618,$189287.4098
2012,PA,3691057,$147960.264
2012,SC,1757976,$117679.4965
2012,SD,269019,$134318.5536
2012,TN,1885337,$102706.6129
2012,TX,13491126,$137376.8829
2012,UT,1459196,$208785.3793
2012,VA,1451083,$189319.7462
2012,VT,156025,$192456.5205
2012,WA,3381177,$219279.2331
2012,WI,2434920,$145939.3863
2012,WV,350335,$94140.9696
2012,WY,119058,$185633.5581
2013,AK,302553,$200386.3451
2013,AL,1978820,$108847.092
