Year,State,Population,AVG Price
2014,ME,790001,$166025.1447
2014,MI,8118175,$119755.6095
2014,MN,505102,$164144.1784
2014,MO,980626,$123380.672
2014,MS,1169556,$101288.5972
2014,MT,370331,$196750.2546
2014,NC,5731395,$144321.6734
2014,ND,123850,$173989.2862
2014,NE,396832,$124501.4894
2014,NH,409149,$215824.9157
2014,NJ,910239,$344737.6905
2014,NM,1393034,$165470.3084
2014,NV,2537222,$214839.3271
2014,NY,5647909,$285488.2528
2014,OH,7018176,$123655.8197
2014,OK,2506221,$74522.3269
2014,OR,1427746,$213750.413
2014,PA,6376140,$147466.7353
2014,SC,3210822,$127356.1647
2014,SD,380150,$148359.1009
2014,TN,3256598,$111715.7719
2014,TX,23780304,$155156.746
2014,UT,2518713,$242356.7794
2014,VA,2436872,$200657.6114
2014,VT,217712,$204867.2239
2014,WA,5857185,$254592.4881
2014,WI,3837049,$159251.1857
2014,WV,628813,$98888.9805
2014,WY,177340,$199415.4575
2015,AK,499644,$215389.0027
2015,AL,3649721,$116172.0524
2015,AR,1545754,$97741.9092
2015,AZ,6376895,$189877.3192
2015,CA,38125198,$449629.3397
2015,CO,4751309,$271772.2532
2015,CT,3308582,$283217.9449
2015,DE,172605,$220905.7963
2015,FL,19469539,$214435.9402
2015,GA,7608007,$124407.6219
2015,HI,1179919,$485434.2385
2015,IA,1488627,$124006.3336
2015,ID,1163750,$182609.6787
2015,IL,1804068,$150352.2201
2015,IN,3562446,$112917.9179
2015,KS,1128454,$103018.649
2015,KY,936842,$94067.0426
2015,LA,3920944,$134589.3041
2015,MA,1054893,$356467.1585
2015,MD,2923750,$298139.2347
2015,ME,791601,$170206.891
2015,MI,8133241,$126816.5128
2015,MN,509365,$170806.3726
2015,MO,987807,$128988.7775
2015,MS,1173854,$110557.3442
2015,MT,373003,$206029.1666
2015,NC,5785634,$149586.0601
2015,ND,127462,$185804.8973
2015,NE,400840,$129968.8531
2015,NH,411330,$227230.3931
2015,NJ,909194,$354575.7576
2015,NM,1393508,$168462.1521
